ID	ID1	ID2	POP
abkhazian1-1m_abkhazian1-1m.khazar	abkhazian1-1m	abkhazian1-1m.khazar	Abkhazians
abh147_abh147.lazaridis-2014	abh147	abh147.lazaridis-2014	Abkhazians
abh154_abh154.lazaridis-2014	abh154	abh154.lazaridis-2014	Abkhazians
abh24_abh24.lazaridis-2014	abh24	abh24.lazaridis-2014	Abkhazians
abh27_abh27.lazaridis-2014	abh27	abh27.lazaridis-2014	Abkhazians
abh41_abh41.lazaridis-2014	abh41	abh41.lazaridis-2014	Abkhazians
KCHE_1032.inner-eurasia	KCHE	1032.inner-eurasia	Abkhazians
KCHE_1052.inner-eurasia	KCHE	1052.inner-eurasia	Abkhazians
KCHE_1283.inner-eurasia	KCHE	1283.inner-eurasia	Abkhazians
KCHE_1294.inner-eurasia	KCHE	1294.inner-eurasia	Abkhazians
abh133_abh133.lazaridis-2014	abh133	abh133.lazaridis-2014	Abkhazians
KCHE_1299.inner-eurasia	KCHE	1299.inner-eurasia	Abkhazians
KCHE_1333.inner-eurasia	KCHE	1333.inner-eurasia	Abkhazians
KCHE_1552.inner-eurasia	KCHE	1552.inner-eurasia	Abkhazians
KCHE_1559.inner-eurasia	KCHE	1559.inner-eurasia	Abkhazians
KCHE_1560.inner-eurasia	KCHE	1560.inner-eurasia	Abkhazians
4459273137-R01C01_4459273137-R01C01.russian-genome	4459273137-R01C01	4459273137-R01C01.russian-genome	Abkhazians
4459273137-R01C02_4459273137-R01C02.russian-genome	4459273137-R01C02	4459273137-R01C02.russian-genome	Abkhazians
4459273137-R02C01_4459273137-R02C01.russian-genome	4459273137-R02C01	4459273137-R02C01.russian-genome	Abkhazians
4459273137-R02C02_4459273137-R02C02.russian-genome	4459273137-R02C02	4459273137-R02C02.russian-genome	Abkhazians
4459273138-R01C01_4459273138-R01C01.russian-genome	4459273138-R01C01	4459273138-R01C01.russian-genome	Abkhazians
KCHE_1330.inner-eurasia	KCHE	1330.inner-eurasia	Abkhazians
4459273138-R01C02_4459273138-R01C02.russian-genome	4459273138-R01C02	4459273138-R01C02.russian-genome	Abkhazians
abh122_abh122.lazaridis-2014	abh122	abh122.lazaridis-2014	Abkhazians
abh107_abh107.lazaridis-2014	abh107	abh107.lazaridis-2014	Abkhazians
abh100_abh100.caucasus	abh100	abh100.caucasus	Abkhazians
abh107_abh107.caucasus	abh107	abh107.caucasus	Abkhazians
abh119_abh119.caucasus	abh119	abh119.caucasus	Abkhazians
abh122_abh122.caucasus	abh122	abh122.caucasus	Abkhazians
abh133_abh133.caucasus	abh133	abh133.caucasus	Abkhazians
abh135_abh135.caucasus	abh135	abh135.caucasus	Abkhazians
abh137_abh137.caucasus	abh137	abh137.caucasus	Abkhazians
abh147_abh147.caucasus	abh147	abh147.caucasus	Abkhazians
abh154_abh154.caucasus	abh154	abh154.caucasus	Abkhazians
abh119_abh119.lazaridis-2014	abh119	abh119.lazaridis-2014	Abkhazians
abh165_abh165.caucasus	abh165	abh165.caucasus	Abkhazians
abh27_abh27.caucasus	abh27	abh27.caucasus	Abkhazians
abh41_abh41.caucasus	abh41	abh41.caucasus	Abkhazians
abh45_abh45.caucasus	abh45	abh45.caucasus	Abkhazians
abh53_abh53.caucasus	abh53	abh53.caucasus	Abkhazians
abh60_abh60.caucasus	abh60	abh60.caucasus	Abkhazians
abh71_abh71.caucasus	abh71	abh71.caucasus	Abkhazians
abh74_abh74.caucasus	abh74	abh74.caucasus	Abkhazians
abh85_abh85.caucasus	abh85	abh85.caucasus	Abkhazians
abh9_abh9.caucasus	abh9	abh9.caucasus	Abkhazians
abh24_abh24.caucasus	abh24	abh24.caucasus	Abkhazians
4459273138-R02C02_4459273138-R02C02.russian-genome	4459273138-R02C02	4459273138-R02C02.russian-genome	Abkhazians
4459273138-R02C01_4459273138-R02C01.russian-genome	4459273138-R02C01	4459273138-R02C01.russian-genome	Abkhazians
4475687462-R01C01_4475687462-R01C01.russian-genome	4475687462-R01C01	4475687462-R01C01.russian-genome	Abkhazians
4475687462-R02C02_4475687462-R02C02.russian-genome	4475687462-R02C02	4475687462-R02C02.russian-genome	Abkhazians
4475687462-R02C01_4475687462-R02C01.russian-genome	4475687462-R02C01	4475687462-R02C01.russian-genome	Abkhazians
4475687462-R01C02_4475687462-R01C02.russian-genome	4475687462-R01C02	4475687462-R01C02.russian-genome	Abkhazians
4475687460-R02C02_4475687460-R02C02.russian-genome	4475687460-R02C02	4475687460-R02C02.russian-genome	Abkhazians
4475687460-R02C01_4475687460-R02C01.russian-genome	4475687460-R02C01	4475687460-R02C01.russian-genome	Abkhazians
4475687460-R01C02_4475687460-R01C02.russian-genome	4475687460-R01C02	4475687460-R01C02.russian-genome	Abkhazians
