ID1	ID	PC1	PC2	POP
100218	100218.tambets-2018-610	0.00990165	0.00276447	Estonians
100228	100228.tambets-2018-610	0.010276	0.00246012	Estonians
100230	100230.tambets-2018-610	0.00970044	0.00224859	Estonians
100232	100232.tambets-2018-610	0.0100471	0.00219208	Estonians
100233	100233.tambets-2018-610	0.00997659	0.00319948	Estonians
100235	100235.tambets-2018-610	0.0101384	0.003051	Estonians
100243	100243.tambets-2018-610	0.0100535	0.00241188	Estonians
100248	100248.tambets-2018-610	0.00991645	0.00233147	Estonians
100249	100249.tambets-2018-610	0.00997899	0.00292824	Estonians
100252	100252.tambets-2018-610	0.0101646	0.00282906	Estonians
100253	100253.tambets-2018-610	0.0106608	0.00314259	Estonians
100254	100254.tambets-2018-610	0.00991195	0.00180391	Estonians
100257	100257.tambets-2018-610	0.00960021	0.00183458	Estonians
100258	100258.tambets-2018-610	0.0100456	0.0025958	Estonians
100259	100259.tambets-2018-610	0.00956348	0.00226517	Estonians
100261	100261.tambets-2018-610	0.00949017	0.00259231	Estonians
100263	100263.tambets-2018-610	0.0103483	0.00315203	Estonians
100520	100520.tambets-2018-610	0.00958773	0.00250439	Estonians
100531	100531.tambets-2018-610	0.00967691	0.00224463	Estonians
100550	100550.tambets-2018-610	0.00990296	0.00258853	Estonians
100557	100557.tambets-2018-610	0.00958849	0.00268097	Estonians
100558	100558.tambets-2018-610	0.00996156	0.00307603	Estonians
400204	400204.tambets-2018-610	0.00975183	0.00280362	Estonians
400206	400206.tambets-2018-610	0.00911199	0.00161463	Estonians
400209	400209.tambets-2018-610	0.00977462	0.00244566	Estonians
400210	400210.tambets-2018-610	0.00928514	0.00162844	Estonians
400221	400221.tambets-2018-610	0.00902214	0.00203125	Estonians
400235	400235.tambets-2018-610	0.0099794	0.00446968	Estonians
400236	400236.tambets-2018-610	0.00946458	0.00219561	Estonians
400237	400237.tambets-2018-610	0.00980281	0.00337174	Estonians
400238	400238.tambets-2018-610	0.0102193	0.00310014	Estonians
400240	400240.tambets-2018-610	0.0103685	0.00369924	Estonians
4159588086-A	4159588086-A.russian-genome	0.00925349	0.00228642	Russians
4159588086-B	4159588086-B.russian-genome	0.00941652	0.00274141	Russians
4159588297-A	4159588297-A.russian-genome	0.00841484	0.000744122	Russians
4159588297-B	4159588297-B.russian-genome	0.00983096	0.00377133	Russians
4159588392-A	4159588392-A.russian-genome	0.00968483	0.0023977	Russians
4159588392-B	4159588392-B.russian-genome	0.0079643	-0.000343671	Russians
4159588416-A	4159588416-A.russian-genome	-0.00297041	-0.0131237	Russians
4159588416-B	4159588416-B.russian-genome	0.00720113	-0.000486377	Russians
4159588417-A	4159588417-A.russian-genome	0.00937458	0.00262833	Russians
4159588417-B	4159588417-B.russian-genome	0.00858109	0.00144826	Russians
4159588431-A	4159588431-A.russian-genome	0.00808237	0.000584361	Russians
4159588431-B	4159588431-B.russian-genome	0.00994475	0.00251984	Russians
4159588644-A	4159588644-A.russian-genome	-0.00181118	-0.0135023	Russians
4159588644-B	4159588644-B.russian-genome	0.00915509	0.00117563	Russians
4159588645-A	4159588645-A.russian-genome	0.00753393	5.3329e-05	Russians
4159588645-B	4159588645-B.russian-genome	0.00754009	-0.000579004	Russians
