ID POP
abkhazian1-1m_abkhazian1-1m.khazar Abkhazians
abh147_abh147.lazaridis-2014 Abkhazians
abh154_abh154.lazaridis-2014 Abkhazians
abh24_abh24.lazaridis-2014 Abkhazians
abh27_abh27.lazaridis-2014 Abkhazians
abh41_abh41.lazaridis-2014 Abkhazians
KCHE_1032.inner-eurasia Abkhazians
KCHE_1052.inner-eurasia Abkhazians
KCHE_1283.inner-eurasia Abkhazians
KCHE_1294.inner-eurasia Abkhazians
abh133_abh133.lazaridis-2014 Abkhazians
KCHE_1299.inner-eurasia Abkhazians
KCHE_1333.inner-eurasia Abkhazians
KCHE_1552.inner-eurasia Abkhazians
KCHE_1559.inner-eurasia Abkhazians
KCHE_1560.inner-eurasia Abkhazians
4459273137-R01C01_4459273137-R01C01.russian-genome Abkhazians
4459273137-R01C02_4459273137-R01C02.russian-genome Abkhazians
4459273137-R02C01_4459273137-R02C01.russian-genome Abkhazians
4459273137-R02C02_4459273137-R02C02.russian-genome Abkhazians
4459273138-R01C01_4459273138-R01C01.russian-genome Abkhazians
KCHE_1330.inner-eurasia Abkhazians
4459273138-R01C02_4459273138-R01C02.russian-genome Abkhazians
abh122_abh122.lazaridis-2014 Abkhazians
abh107_abh107.lazaridis-2014 Abkhazians
abh100_abh100.caucasus Abkhazians
abh107_abh107.caucasus Abkhazians
abh119_abh119.caucasus Abkhazians
abh122_abh122.caucasus Abkhazians
abh133_abh133.caucasus Abkhazians
abh135_abh135.caucasus Abkhazians
abh137_abh137.caucasus Abkhazians
abh147_abh147.caucasus Abkhazians
abh154_abh154.caucasus Abkhazians
abh119_abh119.lazaridis-2014 Abkhazians
abh165_abh165.caucasus Abkhazians
abh27_abh27.caucasus Abkhazians
abh41_abh41.caucasus Abkhazians
abh45_abh45.caucasus Abkhazians
abh53_abh53.caucasus Abkhazians
abh60_abh60.caucasus Abkhazians
abh71_abh71.caucasus Abkhazians
abh74_abh74.caucasus Abkhazians
abh85_abh85.caucasus Abkhazians
abh9_abh9.caucasus Abkhazians
abh24_abh24.caucasus Abkhazians
4459273138-R02C02_4459273138-R02C02.russian-genome Abkhazians
4459273138-R02C01_4459273138-R02C01.russian-genome Abkhazians
4475687462-R01C01_4475687462-R01C01.russian-genome Abkhazians
4475687462-R02C02_4475687462-R02C02.russian-genome Abkhazians
4475687462-R02C01_4475687462-R02C01.russian-genome Abkhazians
4475687462-R01C02_4475687462-R01C02.russian-genome Abkhazians
4475687460-R02C02_4475687460-R02C02.russian-genome Abkhazians
4475687460-R02C01_4475687460-R02C01.russian-genome Abkhazians
4475687460-R01C02_4475687460-R01C02.russian-genome Abkhazians
4475687351-R02C02_4475687351-R02C02.russian-genome Abkhazians
4475687350-R02C02_4475687350-R02C02.russian-genome Abkhazians
4475687350-R01C02_4475687350-R01C02.russian-genome Abkhazians
4475687460-R01C01_4475687460-R01C01.russian-genome Abkhazians
4475687297-R02C02_4475687297-R02C02.russian-genome Abkhazians
4475687297-R02C01_4475687297-R02C01.russian-genome Abkhazians
4475687297-R01C02_4475687297-R01C02.russian-genome Abkhazians
4475687277-R02C01_4475687277-R02C01.russian-genome Abkhazians
4475687277-R01C02_4475687277-R01C02.russian-genome Abkhazians
4475687277-R01C01_4475687277-R01C01.russian-genome Abkhazians
abkhazian6-1m_abkhazian6-1m.khazar Abkhazians
abkhazian5-1m_abkhazian5-1m.khazar Abkhazians
4475687349-R02C02_4475687349-R02C02.russian-genome Abkhazians
NA20291_NA20291.1kg African-Americans
NA20278_NA20278.1kg African-Americans
NA20281_NA20281.1kg African-Americans
NA20282_NA20282.1kg African-Americans
HG02052_HG02052.1kg African-Americans
NA20289_NA20289.1kg African-Americans
NA20294_NA20294.1kg African-Americans
HG02053_HG02053.1kg African-Americans
NA20298_NA20298.1kg African-Americans
NA20299_NA20299.1kg African-Americans
NA20314_NA20314.1kg African-Americans
NA20317_NA20317.1kg African-Americans
NA20318_NA20318.1kg African-Americans
NA20276_NA20276.1kg African-Americans
NA20296_NA20296.1kg African-Americans
NA20274_NA20274.1kg African-Americans
NA19914_NA19914.1kg African-Americans
NA20126_NA20126.1kg African-Americans
HG02012_HG02012.1kg African-Americans
HG02010_HG02010.1kg African-Americans
HG02009_HG02009.1kg African-Americans
HG01990_HG01990.1kg African-Americans
NA19913_NA19913.1kg African-Americans
NA20320_NA20320.1kg African-Americans
NA20127_NA20127.1kg African-Americans
NA19916_NA19916.1kg African-Americans
NA19920_NA19920.1kg African-Americans
NA19921_NA19921.1kg African-Americans
NA19922_NA19922.1kg African-Americans
NA19923_NA19923.1kg African-Americans
NA19982_NA19982.1kg African-Americans
NA19984_NA19984.1kg African-Americans
NA19917_NA19917.1kg African-Americans
NA20321_NA20321.1kg African-Americans
NA20356_NA20356.1kg African-Americans
NA20334_NA20334.1kg African-Americans
HG01879_HG01879.1kg African-Americans
HG01880_HG01880.1kg African-Americans
HG01882_HG01882.1kg African-Americans
HG01883_HG01883.1kg African-Americans
HG01885_HG01885.1kg African-Americans
HG01886_HG01886.1kg African-Americans
HG01889_HG01889.1kg African-Americans
HG01890_HG01890.1kg African-Americans
HG01894_HG01894.1kg African-Americans
HG01896_HG01896.1kg African-Americans
HG01912_HG01912.1kg African-Americans
HG01914_HG01914.1kg African-Americans
HG01915_HG01915.1kg African-Americans
HG01956_HG01956.1kg African-Americans
HG01958_HG01958.1kg African-Americans
HG01985_HG01985.1kg African-Americans
HG01986_HG01986.1kg African-Americans
NA20339_NA20339.1kg African-Americans
NA20340_NA20340.1kg African-Americans
NA20342_NA20342.1kg African-Americans
NA20346_NA20346.1kg African-Americans
NA20348_NA20348.1kg African-Americans
NA20351_NA20351.1kg African-Americans
NA20332_NA20332.1kg African-Americans
NA20355_NA20355.1kg African-Americans
NA20357_NA20357.1kg African-Americans
NA20359_NA20359.1kg African-Americans
NA20362_NA20362.1kg African-Americans
NA20412_NA20412.1kg African-Americans
HG01989_HG01989.1kg African-Americans
HG01988_HG01988.1kg African-Americans
HG02013_HG02013.1kg African-Americans
HG02014_HG02014.1kg African-Americans
NA20287_NA20287.1kg African-Americans
HG02051_HG02051.1kg African-Americans
HG02111_HG02111.1kg African-Americans
HG02108_HG02108.1kg African-Americans
HG02107_HG02107.1kg African-Americans
HG02095_HG02095.1kg African-Americans
HG02054_HG02054.1kg African-Americans
HG02419_HG02419.1kg African-Americans
HG02420_HG02420.1kg African-Americans
HG02427_HG02427.1kg African-Americans
HG02143_HG02143.1kg African-Americans
HG02429_HG02429.1kg African-Americans
HG02439_HG02439.1kg African-Americans
HG02256_HG02256.1kg African-Americans
HG02445_HG02445.1kg African-Americans
HG02449_HG02449.1kg African-Americans
HG02450_HG02450.1kg African-Americans
HG02455_HG02455.1kg African-Americans
HG02470_HG02470.1kg African-Americans
HG02471_HG02471.1kg African-Americans
HG02433_HG02433.1kg African-Americans
HG02476_HG02476.1kg African-Americans
HG02144_HG02144.1kg African-Americans
HG02339_HG02339.1kg African-Americans
HG02281_HG02281.1kg African-Americans
HG02282_HG02282.1kg African-Americans
HG02283_HG02283.1kg African-Americans
HG02284_HG02284.1kg African-Americans
HG02307_HG02307.1kg African-Americans
HG02308_HG02308.1kg African-Americans
HG02309_HG02309.1kg African-Americans
HG02314_HG02314.1kg African-Americans
HG02343_HG02343.1kg African-Americans
HG02315_HG02315.1kg African-Americans
HG02318_HG02318.1kg African-Americans
HG02322_HG02322.1kg African-Americans
HG02323_HG02323.1kg African-Americans
HG02325_HG02325.1kg African-Americans
HG02330_HG02330.1kg African-Americans
HG02332_HG02332.1kg African-Americans
HG02334_HG02334.1kg African-Americans
HG02337_HG02337.1kg African-Americans
HG02317_HG02317.1kg African-Americans
HG02477_HG02477.1kg African-Americans
HG02442_HG02442.1kg African-Americans
HG02481_HG02481.1kg African-Americans
HG02549_HG02549.1kg African-Americans
HG02554_HG02554.1kg African-Americans
HG02555_HG02555.1kg African-Americans
HG02557_HG02557.1kg African-Americans
HG02558_HG02558.1kg African-Americans
HG02577_HG02577.1kg African-Americans
HG02580_HG02580.1kg African-Americans
NA19625_NA19625.1kg African-Americans
NA19700_NA19700.1kg African-Americans
NA19701_NA19701.1kg African-Americans
NA19703_NA19703.1kg African-Americans
NA19704_NA19704.1kg African-Americans
NA19707_NA19707.1kg African-Americans
NA19711_NA19711.1kg African-Americans
NA19712_NA19712.1kg African-Americans
NA19713_NA19713.1kg African-Americans
NA19818_NA19818.1kg African-Americans
NA19819_NA19819.1kg African-Americans
NA19834_NA19834.1kg African-Americans
NA19835_NA19835.1kg African-Americans
NA19900_NA19900.1kg African-Americans
NA19901_NA19901.1kg African-Americans
NA19904_NA19904.1kg African-Americans
NA19908_NA19908.1kg African-Americans
NA19909_NA19909.1kg African-Americans
HG02479_HG02479.1kg African-Americans
HG02545_HG02545.1kg African-Americans
HG02546_HG02546.1kg African-Americans
HG02255_HG02255.1kg African-Americans
HG02484_HG02484.1kg African-Americans
HG02485_HG02485.1kg African-Americans
HG02489_HG02489.1kg African-Americans
HG02496_HG02496.1kg African-Americans
HG02497_HG02497.1kg African-Americans
HG02501_HG02501.1kg African-Americans
HG02502_HG02502.1kg African-Americans
HG02505_HG02505.1kg African-Americans
HG02508_HG02508.1kg African-Americans
HG02511_HG02511.1kg African-Americans
HG02536_HG02536.1kg African-Americans
HG02537_HG02537.1kg African-Americans
HG02541_HG02541.1kg African-Americans
Kosovo12_Kosovo12.balkan Albanians
Kosovo11_Kosovo11.balkan Albanians
Kosovo7_Kosovo7.balkan Albanians
Kosovo1_Kosovo1.balkan Albanians
ALB191_ALB191.lazaridis-2014 Albanians
ALB202_ALB202.lazaridis-2014 Albanians
ALB212_ALB212.lazaridis-2014 Albanians
ALB213_ALB213.lazaridis-2014 Albanians
ALB220_ALB220.lazaridis-2014 Albanians
ALB230_ALB230.lazaridis-2014 Albanians
Kosovo14_Kosovo14.balkan Albanians
Kosovo8_Kosovo8.balkan Albanians
Kosovo15_Kosovo15.balkan Albanians
Kosovo18_Kosovo18.balkan Albanians
Kosovo16_Kosovo16.balkan Albanians
altai4_altai4.saqqaq Altaian
altai11_altai11.saqqaq Altaian
altai2_altai2.saqqaq Altaian
altai10_altai10.saqqaq Altaian
altai1_altai1.saqqaq Altaian
altai13_altai13.saqqaq Altaian
altai3_altai3.saqqaq Altaian
altai14_altai14.saqqaq Altaian
ALT_875.inner-eurasia Altaian
ALT_966.inner-eurasia Altaian
ALT_744.inner-eurasia Altaian
ALT_746.inner-eurasia Altaian
ALT_753.inner-eurasia Altaian
ALT_756.inner-eurasia Altaian
ALT_760.inner-eurasia Altaian
ALT_771.inner-eurasia Altaian
ALT_774.inner-eurasia Altaian
ALT_775.inner-eurasia Altaian
ALT_776.inner-eurasia Altaian
altai5_altai5.saqqaq Altaian
ALT_750.inner-eurasia Altaian
ALT_876.inner-eurasia Altaian
ALT_916.inner-eurasia Altaian
ALT_918.inner-eurasia Altaian
ALT_935.inner-eurasia Altaian
ALT_082.inner-eurasia Altaian
ALT_090.inner-eurasia Altaian
ALT_092.inner-eurasia Altaian
ALT_093.inner-eurasia Altaian
ALT_167.inner-eurasia Altaian
ALT_168.inner-eurasia Altaian
ALT_952.inner-eurasia Altaian
ALT_900.inner-eurasia Altaian
altai6_altai6.saqqaq Altaian
ALT_741.inner-eurasia Altaian
altai8_altai8.saqqaq Altaian
altai9_altai9.saqqaq Altaian
altai377_altai377.malta Altaian
altai389_altai389.malta Altaian
altai80_altai80.malta Altaian
altai7_altai7.saqqaq Altaian
ALT_743.inner-eurasia Altaian
SaudiA7_SaudiA7.lazaridis-2014 Arabs
SaudiA6_SaudiA6.lazaridis-2014 Arabs
SaudiA5_SaudiA5.lazaridis-2014 Arabs
SaudiA1_SaudiA1.lazaridis-2014 Arabs
saudi1403_saudi1403.lazaridis-2014 Arabs
saudi1424_saudi1424.lazaridis-2014 Arabs
SaudiA9_SaudiA9.lazaridis-2014 Arabs
Jordan646_Jordan646.lazaridis-2014 Arabs
Jordan62_Jordan62.lazaridis-2014 Arabs
