"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "Name" "POP"
"1" "0006.inner-eurasia" "MON" -0.0147699 -0.0303732 0.00790417 0.00893594 -0.0106889 -0.0150639 -0.00319689 0.00517193 -0.00334519 0.00750272 -6.19906e-05 0.00344961 -0.00159631 0.00374049 -0.0147583 0.0122542 0.0122929 0.000731384 -0.00109735 0.000484808 "MON" "Mongols"
"2" "001.inner-eurasia" "MOE" 0.00784682 0.000809943 -0.016216 -0.00447954 -0.00178982 -0.0034243 -0.0169391 -0.00290488 0.0290268 -0.00485766 0.00674861 0.00523607 -0.00848383 0.00604478 0.000983653 -0.00131223 -0.00466784 -0.00597296 0.000488188 -0.00803894 "Rps" "Russians"
"3" "001.inner-eurasia" "MOE" 0.00784682 0.000809943 -0.016216 -0.00447954 -0.00178982 -0.0034243 -0.0169391 -0.00290488 0.0290268 -0.00485766 0.00674861 0.00523607 -0.00848383 0.00604478 0.000983653 -0.00131223 -0.00466784 -0.00597296 0.000488188 -0.00803894 "MOE" "Mordvins"
"4" "001.inner-eurasia" "MOE" 0.00784682 0.000809943 -0.016216 -0.00447954 -0.00178982 -0.0034243 -0.0169391 -0.00290488 0.0290268 -0.00485766 0.00674861 0.00523607 -0.00848383 0.00604478 0.000983653 -0.00131223 -0.00466784 -0.00597296 0.000488188 -0.00803894 "EZI" "Kurds"
"5" "001.inner-eurasia" "MOE" 0.00784682 0.000809943 -0.016216 -0.00447954 -0.00178982 -0.0034243 -0.0169391 -0.00290488 0.0290268 -0.00485766 0.00674861 0.00523607 -0.00848383 0.00604478 0.000983653 -0.00131223 -0.00466784 -0.00597296 0.000488188 -0.00803894 "GEO" "Georgians"
"6" "001.inner-eurasia" "MOE" 0.00784682 0.000809943 -0.016216 -0.00447954 -0.00178982 -0.0034243 -0.0169391 -0.00290488 0.0290268 -0.00485766 0.00674861 0.00523607 -0.00848383 0.00604478 0.000983653 -0.00131223 -0.00466784 -0.00597296 0.000488188 -0.00803894 "KHS" "Siberia"
"7" "001.inner-eurasia" "EZI" 0.00702359 0.00478647 0.0167786 -0.0141959 0.00481066 0.00298659 -0.00627559 0.00763149 -0.000884066 -0.00143471 -0.0143336 -0.013709 -0.0171427 -0.000771754 -0.0156154 0.00153004 0.0013627 -0.00058352 0.0106165 0.00405968 "Rps" "Russians"
"8" "001.inner-eurasia" "EZI" 0.00702359 0.00478647 0.0167786 -0.0141959 0.00481066 0.00298659 -0.00627559 0.00763149 -0.000884066 -0.00143471 -0.0143336 -0.013709 -0.0171427 -0.000771754 -0.0156154 0.00153004 0.0013627 -0.00058352 0.0106165 0.00405968 "MOE" "Mordvins"
"9" "001.inner-eurasia" "EZI" 0.00702359 0.00478647 0.0167786 -0.0141959 0.00481066 0.00298659 -0.00627559 0.00763149 -0.000884066 -0.00143471 -0.0143336 -0.013709 -0.0171427 -0.000771754 -0.0156154 0.00153004 0.0013627 -0.00058352 0.0106165 0.00405968 "EZI" "Kurds"
"10" "001.inner-eurasia" "EZI" 0.00702359 0.00478647 0.0167786 -0.0141959 0.00481066 0.00298659 -0.00627559 0.00763149 -0.000884066 -0.00143471 -0.0143336 -0.013709 -0.0171427 -0.000771754 -0.0156154 0.00153004 0.0013627 -0.00058352 0.0106165 0.00405968 "GEO" "Georgians"
"11" "001.inner-eurasia" "EZI" 0.00702359 0.00478647 0.0167786 -0.0141959 0.00481066 0.00298659 -0.00627559 0.00763149 -0.000884066 -0.00143471 -0.0143336 -0.013709 -0.0171427 -0.000771754 -0.0156154 0.00153004 0.0013627 -0.00058352 0.0106165 0.00405968 "KHS" "Siberia"
